city,city_ascii,lat,lng,iso3,population,continent
Middelburg,Middelburg,-31.5,25.01,ZAF,18164,Africa
Port St. Johns,Port St. Johns,-31.6279,29.5283,ZAF,5939,Africa
Volksrust,Volksrust,-27.3596,29.89,ZAF,43378,Africa
Ulundi,Ulundi,-28.3296,31.41,ZAF,20753,Africa
Beaufort West,Beaufort West,-32.3496,22.57,ZAF,44737,Africa
Komatipoort,Komatipoort,-25.4096,31.94,ZAF,20508,Africa
Nelspruit,Nelspruit,-25.4745,30.9703,ZAF,,Africa
Standerton,Standerton,-26.9395,29.24,ZAF,74021,Africa
Johannesburg,Johannesburg,-26.17,28.03,ZAF,3435000,Africa
Kuruman,Kuruman,-27.4496,23.42,ZAF,10006,Africa
Paarl,Paarl,-33.6996,18.96,ZAF,187865,Africa
Worcester,Worcester,-33.64,19.4399,ZAF,127597,Africa
Colesberg,Colesberg,-30.7195,25.1,ZAF,12423,Africa
Umtata,Umtata,-31.58,28.79,ZAF,137772,Africa
Aliwal North,Aliwal North,-30.6896,26.71,ZAF,44436,Africa
Middelburg,Middelburg,-25.7596,29.47,ZAF,154706,Africa
Springs,Springs,-26.2696,28.43,ZAF,236083,Africa
Benoni,Benoni,-26.1496,28.3299,ZAF,2986000,Africa
Port Shepstone,Port Shepstone,-30.7195,30.46,ZAF,52793,Africa
Oudtshoorn,Oudtshoorn,-33.58,22.19,ZAF,76708,Africa
Port Elizabeth,Port Elizabeth,-33.97,25.6,ZAF,1021000,Africa
Port Alfred,Port Alfred,-33.5995,26.88,ZAF,17959,Africa
East London,East London,-32.97,27.87,ZAF,338627,Africa
Mossel Bay,Mossel Bay,-34.17,22.13,ZAF,16743,Africa
Vryburg,Vryburg,-26.96,24.73,ZAF,49588,Africa
Uitenhage,Uitenhage,-33.7596,25.39,ZAF,228912,Africa
Bhisho,Bhisho,-32.87,27.39,ZAF,160997,Africa
Knysna,Knysna,-34.0329,23.0333,ZAF,63106,Africa
Queenstown,Queenstown,-31.8996,26.88,ZAF,105309,Africa
Cradock,Cradock,-32.1995,25.61,ZAF,32898,Africa
Bredasdorp,Bredasdorp,-34.5295,20.03,ZAF,14936,Africa
Swellendam,Swellendam,-34.0196,20.43,ZAF,13674,Africa
Ladysmith,Ladysmith,-28.5495,29.78,ZAF,47375,Africa
George,George,-33.95,22.45,ZAF,174582,Africa
Grahamstown,Grahamstown,-33.2996,26.52,ZAF,91548,Africa
Mmabatho,Mmabatho,-25.83,25.61,ZAF,104428,Africa
Mahikeng,Mahikeng,-25.8652,25.6442,ZAF,,Africa
Bloemfontein,Bloemfontein,-29.12,26.2299,ZAF,463064,Africa
Cape Town,Cape Town,-33.92,18.435,ZAF,3215000,Africa
Zambezi,Zambezi,-13.54,23.1099,ZMB,7074,Africa
Solwezi,Solwezi,-12.1796,26.4,ZMB,65000,Africa
Lusaka,Lusaka,-15.4166,28.2833,ZMB,1328000,Africa
Kaoma,Kaoma,-14.7796,24.8,ZMB,14212,Africa
Chipata,Chipata,-13.6296,32.64,ZMB,85963,Africa
Senanga,Senanga,-16.1196,23.27,ZMB,10005,Africa
Sesheke,Sesheke,-17.4695,24.3,ZMB,20149,Africa
Chililabombwe,Chililabombwe,-12.3696,27.82,ZMB,82068,Africa
Chingola,Chingola,-12.5396,27.85,ZMB,182015,Africa
Kasempa,Kasempa,-13.4596,25.82,ZMB,5622,Africa
Kitwe,Kitwe,-12.81,28.22,ZMB,404901,Africa
Mufulira,Mufulira,-12.55,28.26,ZMB,153624,Africa
Nchelenge,Nchelenge,-9.3496,28.73,ZMB,23693,Africa
Mazabuka,Mazabuka,-15.86,27.76,ZMB,64006,Africa
Lukulu,Lukulu,-14.3896,23.24,ZMB,3349,Africa
Kafue,Kafue,-15.78,28.18,ZMB,47554,Africa
Lundazi,Lundazi,-12.2895,33.17,ZMB,11635,Africa
Mansa,Mansa,-11.2,28.89,ZMB,42277,Africa
Mwinilunga,Mwinilunga,-11.7396,24.44,ZMB,13798,Africa
Mumbwa,Mumbwa,-14.9796,27.07,ZMB,19086,Africa
Kalabo,Kalabo,-14.9896,22.68,ZMB,7731,Africa
Nyimba,Nyimba,-14.5495,30.81,ZMB,1336,Africa
Kapiri Mposhi,Kapiri Mposhi,-13.9696,28.66,ZMB,37942,Africa
Kabwe,Kabwe,-14.44,28.45,ZMB,188979,Africa
Ndola,Ndola,-12.9999,28.65,ZMB,396339,Africa
Kasama,Kasama,-10.1996,31.1799,ZMB,200000,Africa
Mbala,Mbala,-8.84,31.37,ZMB,20570,Africa
Kawambwa,Kawambwa,-9.7795,29.08,ZMB,20589,Africa
Luanshya,Luanshya,-13.1333,28.4,ZMB,151993,Africa
Mongu,Mongu,-15.2796,23.12,ZMB,52534,Africa
Mpika,Mpika,-11.83,31.46,ZMB,28445,Africa
Chinsali,Chinsali,-10.5496,32.06,ZMB,14015,Africa
Livingstone,Livingstone,-17.86,25.86,ZMB,165480,Africa
Choma,Choma,-16.8095,26.97,ZMB,46746,Africa
Plumtree,Plumtree,-20.4795,27.82,ZWE,2148,Africa
Kariba,Kariba,-16.5296,28.8,ZWE,25531,Africa
Hwange,Hwange,-18.37,26.5,ZWE,33989,Africa
Chiredzi,Chiredzi,-21.0496,31.66,ZWE,28205,Africa
Mazowe,Mazowe,-17.5196,30.97,ZWE,9966,Africa
Zvishavane,Zvishavane,-20.3296,30.05,ZWE,35896,Africa
Shamva,Shamva,-17.3196,31.57,ZWE,10317,Africa
Harare,Harare,-17.8178,31.0447,ZWE,1572000,Africa
Kwekwe,Kwekwe,-18.9296,29.8,ZWE,99149,Africa
Kadoma,Kadoma,-18.33,29.9099,ZWE,79174,Africa
Gwanda,Gwanda,-20.9396,29.01,ZWE,14450,Africa
Chinhoyi,Chinhoyi,-17.3596,30.18,ZWE,61739,Africa
Beitbridge,Beitbridge,-22.2096,29.99,ZWE,26459,Africa
Mutare,Mutare,-18.97,32.65,ZWE,249365,Africa
Gweru,Gweru,-19.45,29.82,ZWE,183358,Africa
Karoi,Karoi,-16.8196,29.68,ZWE,25030,Africa
Masvingo,Masvingo,-20.0596,30.82,ZWE,76311,Africa
Bulawayo,Bulawayo,-20.17,28.58,ZWE,699385,Africa
Victoria Falls,Victoria Falls,-17.9296,25.84,ZWE,35761,Africa
Chitungwiza,Chitungwiza,-18,31.1,ZWE,340360,Africa
Maqat,Maqat,47.6482,53.3265,KAZ,14082,Asia
Zhangaozen,Zhangaozen,43.3004,52.8,KAZ,8895,Asia
Taraz,Taraz,42.9,71.365,KAZ,358153,Asia
Shymkent,Shymkent,42.32,69.595,KAZ,465392,Asia
Oral,Oral,51.2711,51.335,KAZ,209788,Asia
Balqash,Balqash,46.8532,74.9502,KAZ,81364,Asia
Zaysan,Zaysan,47.4752,84.8598,KAZ,17600,Asia
Oytal,Oytal,42.9153,73.2549,KAZ,22673,Asia
Zholymbet,Zholymbet,51.7502,71.7099,KAZ,6876,Asia
Serebryansk,Serebryansk,49.6999,83.4249,KAZ,701,Asia
Chapaev,Chapaev,50.1915,51.1449,KAZ,6000,Asia
Ridder,Ridder,50.3554,83.5149,KAZ,56756,Asia
Zhaltyr,Zhaltyr,51.6324,69.8328,KAZ,694,Asia
Atbasar,Atbasar,51.8219,68.3477,KAZ,35819,Asia
Aqsay,Aqsay,51.1714,53.0349,KAZ,34799,Asia
Shemonaikha,Shemonaikha,50.6316,81.905,KAZ,27176,Asia
Atasu,Atasu,48.6903,71.6499,KAZ,19616,Asia
Rudny,Rudny,52.9527,63.13,KAZ,124000,Asia
Makhambet,Makhambet,47.6714,51.5798,KAZ,8905,Asia
Fort Shevchenko,Fort Shevchenko,44.5171,50.2666,KAZ,5213,Asia
Qusmuryn,Qusmuryn,52.458,64.6,KAZ,8049,Asia
Oktyabrsk,Oktyabrsk,49.4731,57.4449,KAZ,28196,Asia
Khromtau,Khromtau,50.2699,58.45,KAZ,23715,Asia
Algha,Algha,49.9032,57.335,KAZ,28267,Asia
Embi,Embi,48.8268,58.1442,KAZ,18760,Asia
Ushtobe,Ushtobe,45.2653,77.97,KAZ,20492,Asia
Burylbaytal,Burylbaytal,44.9387,74.0303,KAZ,100,Asia
Zhanibek,Zhanibek,49.4276,46.8772,KAZ,8212,Asia
Esil,Esil,51.957,66.3775,KAZ,13504,Asia
Derzhavinsk,Derzhavinsk,51.1021,66.3075,KAZ,15848,Asia
Saryshaghan,Saryshaghan,46.1195,73.6191,KAZ,4365,Asia
Turgay,Turgay,49.626,63.499,KAZ,5277,Asia
Sarqan,Sarqan,45.4203,79.9149,KAZ,76919,Asia
Arqalyq,Arqalyq,50.2418,66.8976,KAZ,55521,Asia
Shalqar,Shalqar,47.8363,59.6141,KAZ,27256,Asia
Shieli,Shieli,44.167,66.75,KAZ,29832,Asia
Bayghanin,Bayghanin,48.6917,55.874,KAZ,7657,Asia
Zhezqazghan,Zhezqazghan,47.78,67.77,KAZ,104357,Asia
Mangyshlak,Mangyshlak,43.6905,51.1417,KAZ,147443,Asia
Zhosaly,Zhosaly,45.4877,64.078,KAZ,20065,Asia
Beyneu,Beyneu,45.1834,55.1,KAZ,32452,Asia
Qazaly,Qazaly,45.7628,62.1075,KAZ,6582,Asia
Aral,Aral,46.8,61.6666,KAZ,33017,Asia
Ayakoz,Ayakoz,47.9647,80.4297,KAZ,45861,Asia
Urzhar,Urzhar,47.1002,81.6048,KAZ,14826,Asia
Qapshaghay,Qapshaghay,43.8844,77.0687,KAZ,42167,Asia
Esik,Esik,43.3691,77.4438,KAZ,35319,Asia
Turkistan,Turkistan,43.3016,68.2549,KAZ,97360,Asia
Qaratau,Qaratau,43.1854,70.46,KAZ,37881,Asia
Sharbaqty,Sharbaqty,52.4999,78.1499,KAZ,107,Asia
Oostanay,Oostanay,53.2209,63.6283,KAZ,236901,Asia
Kachiry,Kachiry,53.0804,76.09,KAZ,8931,Asia
Kishkenekol,Kishkenekol,53.6368,72.3414,KAZ,6779,Asia
Bulaevo,Bulaevo,54.9053,70.44,KAZ,9886,Asia
Shonzhy,Shonzhy,43.5421,79.4703,KAZ,3902,Asia
Qyzylorda,Qyzylorda,44.8,65.465,KAZ,300000,Asia
Qaraghandy,Qaraghandy,49.885,73.115,KAZ,451800,Asia
Ertis,Ertis,53.3453,75.4499,KAZ,9216,Asia
Tayynsha,Tayynsha,53.8481,69.7638,KAZ,13148,Asia
Qulan,Qulan,42.9204,72.705,KAZ,13128,Asia
Shu,Shu,43.5953,73.7448,KAZ,42439,Asia
Kentau,Kentau,43.5165,68.5199,KAZ,57408,Asia
Oskemen,Oskemen,49.99,82.6149,KAZ,319067,Asia
Aqtau,Aqtau,43.6232,51.2365,KAZ,4479,Asia
Taldyqorghan,Taldyqorghan,45,78.4,KAZ,88380,Asia
Astana,Astana,51.1811,71.4278,KAZ,345604,Asia
Aqtobe,Aqtobe,50.28,57.17,KAZ,262457,Asia
Kokshetau,Kokshetau,53.3,69.42,KAZ,128873,Asia
Petropavlovsk,Petropavlovsk,54.88,69.22,KAZ,228238,Asia
Pavlodar,Pavlodar,52.3,76.95,KAZ,329002,Asia
Otar,Otar,43.5346,75.2139,KAZ,11238,Asia
Almaty,Almaty,43.325,76.915,KAZ,1209000,Asia
Bestobe,Bestobe,52.4997,73.0997,KAZ,7189,Asia
Arys,Arys,42.4369,68.8048,KAZ,42648,Asia
Lenger,Lenger,42.1899,69.8799,KAZ,23058,Asia
Aqsu,Aqsu,52.4502,71.9597,KAZ,8543,Asia
Temirtau,Temirtau,50.065,72.965,KAZ,170600,Asia
Makinsk,Makinsk,52.6404,70.41,KAZ,23020,Asia
Osakarovka,Osakarovka,50.5799,72.5699,KAZ,7305,Asia
Qarqaraly,Qarqaraly,49.4249,75.4649,KAZ,8195,Asia
Ekibastuz,Ekibastuz,51.73,75.3199,KAZ,127868,Asia
Zyryanovsk,Zyryanovsk,49.7453,84.2548,KAZ,49658,Asia
Komsomolets,Komsomolets,53.7506,62.0502,KAZ,9838,Asia
Baykonur,Baykonur,45.6914,63.2413,KAZ,36175,Asia
Erymentau,Erymentau,51.6303,73.1049,KAZ,25141,Asia
Qarazhal,Qarazhal,48.0253,70.7999,KAZ,22170,Asia
Tobol,Tobol,52.698,62.5749,KAZ,7155,Asia
Shar,Shar,49.6003,81.0549,KAZ,9087,Asia
Semey,Semey,50.435,80.275,KAZ,311353,Asia
Boralday,Boralday,43.3341,76.8288,KAZ,20996,Asia
Zhetiqara,Zhetiqara,52.193,61.2399,KAZ,46740,Asia
Aqadyr,Aqadyr,48.2749,72.8599,KAZ,9710,Asia
Zharkent,Zharkent,44.1616,79.9801,KAZ,36496,Asia
Qulsary,Qulsary,46.9833,54.0165,KAZ,37103,Asia
Balyqshy,Balyqshy,47.0666,51.8666,KAZ,31624,Asia
Atyrau,Atyrau,47.1127,51.92,KAZ,182753,Asia
Xiangkhoang,Xiangkhoang,19.3337,103.3666,LAO,5189,Asia
Muang Phônsavan,Muang Phonsavan,19.45,103.2167,LAO,,Asia
Vientiane,Vientiane,17.9667,102.6,LAO,754000,Asia
Ban Houayxay,Ban Houayxay,20.2775,100.4128,LAO,6347,Asia
Muang Phôn-Hông,Muang Phon-Hong,18.4957,102.4142,LAO,,Asia
Louang Namtha,Louang Namtha,20.95,101.4167,LAO,3225,Asia
Phongsali,Phongsali,21.6833,102.1,LAO,6000,Asia
Thakhek,Thakhek,17.4112,104.8361,LAO,76928,Asia
Muang Pakxan,Muang Pakxan,18.3826,103.6586,LAO,,Asia
Louangphrabang,Louangphrabang,19.8845,102.1416,LAO,107142,Asia
Xaignabouri,Xaignabouri,19.2505,101.7501,LAO,16200,Asia
Savannakhet,Savannakhet,16.5376,104.773,LAO,84898,Asia
Lamam,Lamam,15.4171,106.6946,LAO,,Asia
Pakxe,Pakxe,15.1221,105.8183,LAO,102775,Asia
Attapu,Attapu,14.808,106.839,LAO,4297,Asia
Xam Nua,Xam Nua,20.4167,104.0333,LAO,38992,Asia
Muang Xai,Muang Xai,20.6923,101.9847,LAO,,Asia
Saravan,Saravan,15.716,106.427,LAO,5521,Asia
Champasak,Champasak,14.8833,105.8667,LAO,12994,Asia
Beirut,Beirut,33.872,35.5097,LBN,1846000,Asia
Zahlé,Zahle,33.8501,35.9042,LBN,78145,Asia
Baalbek,Baalbek,34.0058,36.2181,LBN,,Asia
B'abda,B'abda,33.8333,35.5333,LBN,9000,Asia
Halba,Halba,34.5428,36.0797,LBN,,Asia
Saida,Saida,33.563,35.3688,LBN,173894,Asia
Nabatiye et Tahta,Nabatiye et Tahta,33.3833,35.45,LBN,80000,Asia
Trablous,Trablous,34.42,35.87,LBN,530000,Asia
Castries,Castries,14.002,-61,LCA,37963,North America
Gamprin,Gamprin,47.2197,9.5113,LIE,,Europe
Triesenberg,Triesenberg,47.1182,9.5444,LIE,,Europe
Schaan,Schaan,47.1661,9.5096,LIE,,Europe
Ruggell,Ruggell,47.2408,9.5247,LIE,,Europe
Mauren,Mauren,47.2205,9.5426,LIE,,Europe
Eschen,Eschen,47.2109,9.5216,LIE,,Europe
Triesen,Triesen,47.1101,9.524,LIE,,Europe
Balzers,Balzers,47.0667,9.5025,LIE,,Europe
Vaduz,Vaduz,47.1337,9.5167,LIE,36281,Europe
Planken,Planken,47.1844,9.5436,LIE,,Europe
Schellenberg,Schellenberg,47.2325,9.5463,LIE,,Europe
Colombo,Colombo,6.932,79.8578,LKA,217000,Asia
Ratnapura,Ratnapura,6.693,80.386,LKA,47832,Asia
Matara,Matara,5.949,80.5428,LKA,68244,Asia
Sri Jawewardenepura Kotte,Sri Jawewardenepura Kotte,6.9,79.95,LKA,115826,Asia
Moratuwa,Moratuwa,6.7804,79.88,LKA,200000,Asia
Anuradhapura,Anuradhapura,8.35,80.3833,LKA,118302,Asia
Galle,Galle,6.03,80.24,LKA,99478,Asia
Puttalan,Puttalan,8.033,79.826,LKA,45661,Asia
Kandy,Kandy,7.28,80.67,LKA,111701,Asia
Badulla,Badulla,6.9837,81.0499,LKA,47587,Asia
Trincomalee,Trincomalee,8.569,81.233,LKA,108420,Asia
Kilinochchi,Kilinochchi,9.4004,80.3999,LKA,103717,Asia
Batticaloa,Batticaloa,7.717,81.7,LKA,129222,Asia
Jaffna,Jaffna,9.675,80.005,LKA,250000,Asia
Bopolu,Bopolu,7.0667,-10.4875,LBR,,Africa
Voinjama,Voinjama,8.4167,-9.75,LBR,26594,Africa
Robertsport,Robertsport,6.7533,-11.3686,LBR,11969,Africa
Buchanan,Buchanan,5.9161,-10.0525,LBR,48315,Africa
Monrovia,Monrovia,6.3106,-10.8048,LBR,1041000,Africa
Tubmanburg,Tubmanburg,6.8706,-10.8211,LBR,,Africa
Buchanan,Buchanan,5.8811,-10.0447,LBR,,Africa
Zwedru,Zwedru,6.0704,-8.13,LBR,25678,Africa
Barclayville,Barclayville,4.8,-8.1667,LBR,2733,Africa
Rivercess,Rivercess,5.465,-9.578,LBR,2578,Africa
Fish Town,Fish Town,5.1974,-7.8758,LBR,,Africa
Gbarnga,Gbarnga,7.0104,-9.49,LBR,45835,Africa
Kakata,Kakata,6.526,-10.349,LBR,33945,Africa
Sanniquellie,Sanniquellie,7.371,-8.685,LBR,11415,Africa
Greenville,Greenville,5.0111,-9.0388,LBR,10374,Africa
Bensonville,Bensonville,6.4333,-10.6,LBR,4089,Africa
Harper,Harper,4.3754,-7.717,LBR,32661,Africa
Maseru,Maseru,-29.3167,27.4833,LSO,361324,Africa
Mokhotlong,Mokhotlong,-29.291,29.078,LSO,8809,Africa
Thaba-Tseka,Thaba-Tseka,-29.522,28.6084,LSO,,Africa
Moyeni,Moyeni,-30.411,27.716,LSO,24130,Africa
Qacha’s Nek,Qacha's Nek,-30.1154,28.6894,LSO,,Africa
Mafetang,Mafetang,-29.8166,27.25,LSO,57059,Africa
Hlotse,Hlotse,-28.878,28.056,LSO,47675,Africa
Teyateyaneng,Teyateyaneng,-29.153,27.753,LSO,5115,Africa
Mohales Hoek,Mohales Hoek,-30.159,27.48,LSO,24992,Africa
Butha-Buthe,Butha-Buthe,-28.75,28.25,LSO,16330,Africa
Klaip_da,Klaipeda,55.7204,21.1199,LTU,192307,Europe
Palanga,Palanga,55.9203,21.071,LTU,,Europe
Nida,Nida,55.3086,20.9965,LTU,,Europe
Kretinga,Kretinga,55.8888,21.2445,LTU,,Europe
Taurag_,Taurage,55.2522,22.2897,LTU,,Europe
_ilut_,Silute,55.3453,21.4733,LTU,,Europe
Rietavas,Rietavas,55.7271,21.9234,LTU,,Europe
Plung_,Plunge,55.9077,21.8456,LTU,,Europe
_ilal_,Silale,55.4898,22.1869,LTU,,Europe
Visaginas,Visaginas,55.5968,26.4398,LTU,,Europe
Zarasai,Zarasai,55.7322,26.2512,LTU,,Europe
Ignalina,Ignalina,55.3406,26.1605,LTU,,Europe
Utena,Utena,55.4976,25.5992,LTU,,Europe
_ven_ionys,Svencionys,55.133,26.1595,LTU,,Europe
Roki_kis,Rokiskis,55.9587,25.5947,LTU,,Europe
Mol_tai,Moletai,55.2247,25.4169,LTU,,Europe
_al_ininkai,Salcininkai,54.3086,25.3868,LTU,,Europe
Vilnius,Vilnius,54.6834,25.3166,LTU,542366,Europe
Kupi_kis,Kupiskis,55.8401,24.9803,LTU,,Europe
Trakai,Trakai,54.6399,24.936,LTU,,Europe
Bir_ai,Birzai,56.1986,24.7521,LTU,,Europe
Anyk__iai,Anyksciai,55.5246,25.1066,LTU,,Europe
Tel_iai,Telsiai,55.9831,22.2343,LTU,,Europe
Kelm_,Kelme,55.6301,22.9349,LTU,,Europe
Marijampol_,Marijampole,54.5599,23.3541,LTU,,Europe
Lazdijai,Lazdijai,54.2333,23.5147,LTU,,Europe
_akiai,Sakiai,54.9534,23.0478,LTU,,Europe
Radvili_kis,Radviliskis,55.8111,23.5411,LTU,,Europe
_iauliai,Siauliai,55.9386,23.325,LTU,133528,Europe
Bir_tonas,Birstonas,54.6048,24.0311,LTU,,Europe
Druskininkai,Druskininkai,54.0157,23.987,LTU,,Europe
K_dainiai,Kedainiai,55.2878,23.9727,LTU,,Europe
Alytus,Alytus,54.3964,24.0414,LTU,,Europe
Prienai,Prienai,54.636,23.9458,LTU,,Europe
Elektr_nai,Elektrenai,54.7863,24.6626,LTU,,Europe
Kaunas,Kaunas,54.9504,23.88,LTU,374643,Europe
Jonava,Jonava,55.0801,24.2754,LTU,,Europe
Kai_iadorys,Kaisiadorys,54.8653,24.4682,LTU,,Europe
Paneve_ys,Panevezys,55.74,24.37,LTU,127405,Europe
Joni_kis,Joniskis,56.2394,23.6154,LTU,,Europe
Kazl_ R_da,Kazlu Ruda,54.7497,23.495,LTU,,Europe
Vilkavi_kis,Vilkaviskis,54.648,23.0305,LTU,,Europe
Pasvalys,Pasvalys,56.0625,24.3997,LTU,,Europe
Pakruojis,Pakruojis,55.9789,23.8551,LTU,,Europe
Raseiniai,Raseiniai,55.3797,23.1239,LTU,,Europe
Pag_giai,Pagegiai,55.1379,21.9138,LTU,,Europe
Jurbarkas,Jurbarkas,55.0756,22.7642,LTU,,Europe
Kalvarija,Kalvarija,54.4172,23.2283,LTU,,Europe
_irvintos,Sirvintos,55.044,24.9545,LTU,,Europe
Skuodas,Skuodas,56.2706,21.5321,LTU,,Europe
Ma_eikiai,Mazeikiai,56.3122,22.3265,LTU,,Europe
Akmen_,Akmene,56.25,22.75,LTU,,Europe
Ukmerg_,Ukmerge,55.2494,24.7636,LTU,,Europe
