city,city_ascii,lat,lng,iso3,population,continent
Malishevë,Malisheve,42.4822,20.7458,XKS,,Europe
Prizren,Prizren,42.2139,20.7397,XKS,,Europe
Zubin Potok,Zubin Potok,42.9144,20.6897,XKS,,Europe
Kamenicë,Kamenice,42.5781,21.5803,XKS,,Europe
Viti,Viti,42.3214,21.3583,XKS,,Europe
Shtërpcë,Shterpce,42.2394,21.0272,XKS,,Europe
Shtime,Shtime,42.4331,21.0397,XKS,,Europe
Vushtrri,Vushtrri,42.8231,20.9675,XKS,,Europe
Dragash,Dragash,42.0265,20.6533,XKS,,Europe
Podujevë,Podujeve,42.9111,21.1899,XKS,,Europe
Fushë Kosovë,Fushe Kosove,42.6639,21.0961,XKS,,Europe
Kaçanik,Kacanik,42.2319,21.2594,XKS,,Europe
Klinë,Kline,42.6217,20.5778,XKS,,Europe
Leposaviq,Leposaviq,43.1039,20.8028,XKS,,Europe
Pejë,Peje,42.66,20.2922,XKS,,Europe
Rahovec,Rahovec,42.3994,20.6547,XKS,,Europe
Gjilan,Gjilan,42.4689,21.4633,XKS,,Europe
Lipjan,Lipjan,42.5217,21.1258,XKS,,Europe
Obiliq,Obiliq,42.6869,21.0703,XKS,,Europe
Gjakovë,Gjakove,42.3803,20.4308,XKS,,Europe
Pristina,Pristina,42.6666,21.1724,XKS,,Europe
Deçan,Decan,42.5378,20.2911,XKS,,Europe
Istog,Istog,42.7808,20.4875,XKS,,Europe
Hani i Elezit,Hani i Elezit,42.15,21.2967,XKS,,Europe
Junik,Junik,42.4758,20.2772,XKS,,Europe
Kllokot,Kllokot,42.3714,21.3744,XKS,,Europe
Mamushë,Mamushe,42.3308,20.7269,XKS,,Europe
Partesh,Partesh,42.4019,21.4336,XKS,,Europe
Ranillug,Ranillug,42.4922,21.5989,XKS,,Europe
Ferizaj,Ferizaj,42.3706,21.1553,XKS,,Europe
Zveçan,Zvecan,42.9075,20.8403,XKS,,Europe
Suharekë,Suhareke,42.3586,20.825,XKS,,Europe
Gllogovc,Gllogovc,42.6283,20.8939,XKS,,Europe
Mitrovicë,Mitrovice,42.8833,20.8667,XKS,,Europe
Skenderaj,Skenderaj,42.7467,20.7886,XKS,,Europe
Novobërdë,Novoberde,42.6178,21.4197,XKS,,Europe
Graçanicë,Gracanice,42.6011,21.1958,XKS,,Europe
Sanaa,Sanaa,15.3547,44.2066,YEM,2008000,Asia
Marib,Marib,15.421,45.334,YEM,16794,Asia
Al Jab_n,Al Jabin,14.704,43.599,YEM,,Asia
Hajjah,Hajjah,15.6917,43.6021,YEM,208287,Asia
Ibb,Ibb,13.9759,44.1709,YEM,234837,Asia
Al Hudaydah,Al Hudaydah,14.7979,42.953,YEM,780000,Asia
Lahij,Lahij,13.0582,44.8838,YEM,66288,Asia
Al Ma_w_t,Al Mahwit,15.4701,43.5448,YEM,,Asia
Taizz,Taizz,13.6045,44.0394,YEM,751000,Asia
Sadah,Sadah,16.9398,43.8498,YEM,105542,Asia
Dhamar,Dhamar,14.5575,44.3875,YEM,191259,Asia
‘Amr_n,`Amran,15.6594,43.9439,YEM,,Asia
A_ __li‘,Ad Dali`,13.6957,44.7314,YEM,,Asia
Saywun,Saywun,15.943,48.7873,YEM,68747,Asia
Al Bayda,Al Bayda,13.979,45.574,YEM,37821,Asia
Zinjib_r,Zinjibar,13.1287,45.3807,YEM,,Asia
Rida,Rida,14.4295,44.8341,YEM,45233,Asia
'Ataq,'Ataq,14.55,46.8,YEM,37315,Asia
Al Ghaydah,Al Ghaydah,16.2394,52.1638,YEM,27404,Asia
Sayhut,Sayhut,15.2105,51.2454,YEM,189,Asia
Al Mukalla,Al Mukalla,14.5412,49.1259,YEM,258132,Asia
Al _azm,Al Hazm,16.1641,44.7769,YEM,,Asia
Zab_d,Zabid,14.1951,43.3155,YEM,152504,Asia
Aden,Aden,12.7797,45.0095,YEM,1000000,Asia
Hadiboh,Hadiboh,12.6519,54.0239,YEM,11396,Asia
Ash Shihr,Ash Shihr,14.7593,49.6092,YEM,54274,Asia
Pretoria,Pretoria,-25.7069,28.2294,ZAF,1338000,Africa
Lebowakgomo,Lebowakgomo,-24.1996,29.5,ZAF,33308,Africa
Potchefstroom,Potchefstroom,-26.6996,27.1,ZAF,123669,Africa
Graaff Reinet,Graaff Reinet,-32.3,24.54,ZAF,62896,Africa
Rustenburg,Rustenburg,-25.65,27.24,ZAF,165976,Africa
Brandfort,Brandfort,-28.6996,26.47,ZAF,12091,Africa
Vryheid,Vryheid,-27.76,30.79,ZAF,150012,Africa
Vereeniging,Vereeniging,-26.6496,27.96,ZAF,1074000,Africa
Brits,Brits,-25.6296,27.78,ZAF,122497,Africa
Bethlehem,Bethlehem,-28.2196,28.3,ZAF,83654,Africa
Ubomba,Ubomba,-27.5661,32.0833,ZAF,564,Africa
Polokwane,Polokwane,-23.89,29.45,ZAF,220045,Africa
Springbok,Springbok,-29.6667,17.8833,ZAF,10438,Africa
Thohoyandou,Thohoyandou,-22.95,30.48,ZAF,269707,Africa
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,ZAF,750845,Africa
Poffader,Poffader,-29.1329,19.3834,ZAF,4220,Africa
Carnarvon,Carnarvon,-30.9496,22.1333,ZAF,5785,Africa
Kroonstad,Kroonstad,-27.66,27.21,ZAF,103992,Africa
Alexander Bay,Alexander Bay,-28.6083,16.5033,ZAF,1500,Africa
Bloemhof,Bloemhof,-27.6496,25.59,ZAF,17122,Africa
Hermanus,Hermanus,-34.4096,19.2299,ZAF,25153,Africa
Bethal,Bethal,-26.4696,29.45,ZAF,101919,Africa
Upington,Upington,-28.46,21.23,ZAF,71373,Africa
Tzaneen,Tzaneen,-23.8195,30.17,ZAF,67245,Africa
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,ZAF,3331,Africa
Musina,Musina,-22.34,30.03,ZAF,20191,Africa
Kimberley,Kimberley,-28.7468,24.77,ZAF,165264,Africa
Durban,Durban,-29.865,30.98,ZAF,2729000,Africa
Klerksdorp,Klerksdorp,-26.88,26.62,ZAF,178921,Africa
Welkom,Welkom,-27.97,26.73,ZAF,431944,Africa
De Aar,De Aar,-30.65,24,ZAF,32318,Africa
Prieska,Prieska,-29.6595,22.73,ZAF,11236,Africa
Saldanha,Saldanha,-33.01,17.93,ZAF,68284,Africa
