city,city_ascii,lat,lng,iso3,population,continent
Pretoria,Pretoria,-25.7069,28.2294,ZAF,1338000,Africa
Lebowakgomo,Lebowakgomo,-24.1996,29.5,ZAF,33308,Africa
Potchefstroom,Potchefstroom,-26.6996,27.1,ZAF,123669,Africa
Graaff Reinet,Graaff Reinet,-32.3,24.54,ZAF,62896,Africa
Rustenburg,Rustenburg,-25.65,27.24,ZAF,165976,Africa
Brandfort,Brandfort,-28.6996,26.47,ZAF,12091,Africa
Vryheid,Vryheid,-27.76,30.79,ZAF,150012,Africa
Vereeniging,Vereeniging,-26.6496,27.96,ZAF,1074000,Africa
Brits,Brits,-25.6296,27.78,ZAF,122497,Africa
Bethlehem,Bethlehem,-28.2196,28.3,ZAF,83654,Africa
Ubomba,Ubomba,-27.5661,32.0833,ZAF,564,Africa
Polokwane,Polokwane,-23.89,29.45,ZAF,220045,Africa
Springbok,Springbok,-29.6667,17.8833,ZAF,10438,Africa
Thohoyandou,Thohoyandou,-22.95,30.48,ZAF,269707,Africa
Pietermaritzburg,Pietermaritzburg,-29.61,30.39,ZAF,750845,Africa
Poffader,Poffader,-29.1329,19.3834,ZAF,4220,Africa
Carnarvon,Carnarvon,-30.9496,22.1333,ZAF,5785,Africa
Kroonstad,Kroonstad,-27.66,27.21,ZAF,103992,Africa
Alexander Bay,Alexander Bay,-28.6083,16.5033,ZAF,1500,Africa
Bloemhof,Bloemhof,-27.6496,25.59,ZAF,17122,Africa
Hermanus,Hermanus,-34.4096,19.2299,ZAF,25153,Africa
Bethal,Bethal,-26.4696,29.45,ZAF,101919,Africa
Upington,Upington,-28.46,21.23,ZAF,71373,Africa
Tzaneen,Tzaneen,-23.8195,30.17,ZAF,67245,Africa
Vanhynsdorp,Vanhynsdorp,-31.6166,18.7333,ZAF,3331,Africa
Musina,Musina,-22.34,30.03,ZAF,20191,Africa
Kimberley,Kimberley,-28.7468,24.77,ZAF,165264,Africa
Durban,Durban,-29.865,30.98,ZAF,2729000,Africa
Klerksdorp,Klerksdorp,-26.88,26.62,ZAF,178921,Africa
Welkom,Welkom,-27.97,26.73,ZAF,431944,Africa
De Aar,De Aar,-30.65,24,ZAF,32318,Africa
Prieska,Prieska,-29.6595,22.73,ZAF,11236,Africa
Saldanha,Saldanha,-33.01,17.93,ZAF,68284,Africa
Middelburg,Middelburg,-31.5,25.01,ZAF,18164,Africa
Port St. Johns,Port St. Johns,-31.6279,29.5283,ZAF,5939,Africa
Volksrust,Volksrust,-27.3596,29.89,ZAF,43378,Africa
Ulundi,Ulundi,-28.3296,31.41,ZAF,20753,Africa
Beaufort West,Beaufort West,-32.3496,22.57,ZAF,44737,Africa
Komatipoort,Komatipoort,-25.4096,31.94,ZAF,20508,Africa
Nelspruit,Nelspruit,-25.4745,30.9703,ZAF,,Africa
Standerton,Standerton,-26.9395,29.24,ZAF,74021,Africa
Johannesburg,Johannesburg,-26.17,28.03,ZAF,3435000,Africa
Kuruman,Kuruman,-27.4496,23.42,ZAF,10006,Africa
Paarl,Paarl,-33.6996,18.96,ZAF,187865,Africa
Worcester,Worcester,-33.64,19.4399,ZAF,127597,Africa
Colesberg,Colesberg,-30.7195,25.1,ZAF,12423,Africa
Umtata,Umtata,-31.58,28.79,ZAF,137772,Africa
Aliwal North,Aliwal North,-30.6896,26.71,ZAF,44436,Africa
Middelburg,Middelburg,-25.7596,29.47,ZAF,154706,Africa
Springs,Springs,-26.2696,28.43,ZAF,236083,Africa
Benoni,Benoni,-26.1496,28.3299,ZAF,2986000,Africa
Port Shepstone,Port Shepstone,-30.7195,30.46,ZAF,52793,Africa
Oudtshoorn,Oudtshoorn,-33.58,22.19,ZAF,76708,Africa
Port Elizabeth,Port Elizabeth,-33.97,25.6,ZAF,1021000,Africa
Port Alfred,Port Alfred,-33.5995,26.88,ZAF,17959,Africa
East London,East London,-32.97,27.87,ZAF,338627,Africa
Mossel Bay,Mossel Bay,-34.17,22.13,ZAF,16743,Africa
Vryburg,Vryburg,-26.96,24.73,ZAF,49588,Africa
Uitenhage,Uitenhage,-33.7596,25.39,ZAF,228912,Africa
Bhisho,Bhisho,-32.87,27.39,ZAF,160997,Africa
Knysna,Knysna,-34.0329,23.0333,ZAF,63106,Africa
Queenstown,Queenstown,-31.8996,26.88,ZAF,105309,Africa
Cradock,Cradock,-32.1995,25.61,ZAF,32898,Africa
Bredasdorp,Bredasdorp,-34.5295,20.03,ZAF,14936,Africa
Swellendam,Swellendam,-34.0196,20.43,ZAF,13674,Africa
Ladysmith,Ladysmith,-28.5495,29.78,ZAF,47375,Africa
