Id,Country,Area,Containers,Unit,State
RUS,Russia,17098242,SUN,1,1
KAZ,Kazakhstan,2724900,SUN,1,1
UKR,Ukraine,603628,SUN,1,1
FRA,France,551695,EU12|EEC,1,1
ESP,Spain,498468,EU12|EEC,1,1
TKM,Turkmenistan,491210,SUN,1,1
SWE,Sweden,450295,EU15,1,1
UZB,Uzbekistan,444103,SUN,1,1
NOR,Norway,385178,,1,1
FIN,Finland,338145,EU15,1,1
POL,Poland,312685,WSP|EU25,1,1
ITA,Italy,301338,EU12|EEC,1,1
FRG,West Germany,248577,DEU|EEC,1,1
GBR,United Kingdom,248532,EU12|EEC,1,1
ROU,Romania,238397,WSP|EU27,1,1
BLR,Belarus,207600,SUN,1,1
KGZ,Kyrgyzstan,199945,SUN,1,1
TJK,Tajikistan,143100,SUN,1,1
GRC,Greece,131940,EU12|EEC,1,1
BGR,Bulgaria,110994,EU27,1,1
DDR,East Germany,108333,DEU|WSP,1,1
ISL,Iceland,102775,,1,1
HUN,Hungary,93030,WSP|EU25,1,1
PRT,Portugal,91568,EU12|EEC,1,1
AZE,Azerbaijan,86600,SUN,1,1
AUT,Austria,83858,EU15,1,1
CZE,Czech Republic,78866,CSK|EU25,1,1
SRB,Serbia,77453,SRB+KOS,1,1
IRL,Ireland,70273,EU12|EEC,1,1
GEO,Georgia,69700,SUN,1,1
LTU,Lithuania,65300,SUN|EU25,1,1
LVA,Latvia,64589,SUN|EU25,1,1
HRV,Croatia,56594,YUG|EU28,1,1
BIH,Bosnia & Herzegovina,51129,YUG,1,1
SVK,Slovakia,49036,CSK|EU25,1,1
EST,Estonia,45339,SUN|EU25,1,1
DNK,Denmark,44493,EU12|EEC,1,1
CHE,Switzerland,41290,,1,1
NLD,Netherlands,41198,EU12|EEC,1,1
MDA,Moldova,33846,SUN,1,1
BEL,Belgium,30510,EU12|EEC,1,1
ARM,Armenia,29743,SUN,1,1
ALB,Albania,28748,,1,1
MKD,Macedonia,25713,YUG,1,1
TUR,Turkey,23507,,1,1
SVN,Slovenia,20273,YUG|EU25,1,1
MNE,Montenegro,13812,SCG,1,1
KOS,Kosovo,10908,SRB+KOS,1,1
CYP,Cyprus,9251,EU25,1,1
LUX,Luxembourg,2586,EU12|EEC,1,1
WB,West Berlin,476,DEU,1,1
AND,Andorra,468,,1,1
MLT,Malta,316,EU25,1,1
LIE,Liechtenstein,160,,1,1
SMR,San Marino,61,,1,1
MCO,Monaco,2,,1,1
VAT,Vatican City,1,,1,1
SUN,USSR,22307845,WSP,0,1
DEU,Germany,357386,EU12,0,1
YUG,Yugoslavia,255882,,0,1
SRB+KOS,Serbia + Kosovo,88361,SCG,0,1
SCG,Serbia + Montenegro,102173,YUG,0,1
CSK,Czechoslovakia,127902,WSP,0,1
WSP,Warsaw Pact (1990),23188192,,0,0
EU12,EU 12 (1993),2369987,EU15,0,0
EU15,EU 15 (1995),3242285,EU25,0,0
EU25,EU 25 (2004),3980970,EU27,0,0
EU27,EU 27 (2007),4330361,EU28,0,0
EU28,EU 28 (2013),4386955,,0,0
EEC,EEC (1990),2261654,,0,0
