Destination,Population,Total,Code,Argentina,Australia,Austria,Bahrain,Bangladesh,Belarus,Belgium,Brazil,Canada,China,Congo DR,Cote d'Ivoire,Ethiopia,France,Germany,Greece,Hong Kong,India,Iran,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Lebanon,Libya,Malaysia,Mexico,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Portugal,Qatar,Russian Federation,Saudi Arabia,Serbia,Singapore,South Africa,South Korea,South Sudan,Spain,Sudan,Sweden,Switzerland,Syria,Thailand,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uzbekistan,Venezuela
Argentina,43847430,2164524,ARG,,285,1060,12,,315,557,50621,549,14936,,1,33,8465,9588,1055,4,100,142,66,577,158049,4619,75,,2,,820,52,2,1504,401,11,44,60,,5,5147,,1954,82,,2,130,8459,,101726,8,211,823,1167,62,658,1,4573,,978,5327,,1286
Australia,24210809,7035560,AUS,16170,,21423,1736,38888,2156,8229,21734,56651,472931,3860,630,12000,41001,141186,132680,100185,408880,51054,105925,12763,220235,55733,6591,1780,18714,6403,100970,3240,164534,5176,95782,673378,6691,5452,1614,46077,21014,994,26013,15838,39805,71106,192251,103160,4424,18935,25150,13194,16512,11392,63652,45082,3561,18061,7476,1351846,116001,1703,5132
Austria,8736668,1660283,AUT,1677,2741,,23,3013,1835,2835,5710,2804,19505,770,234,1405,9871,246340,4408,309,14949,17062,1084,2821,32746,3270,824,1214,1081,278,2027,505,531,1664,9333,487,9343,1063,34,5301,1897,27,34105,525,214925,314,3074,,,4539,699,3910,17400,10967,6171,203550,301,9064,193,12127,12172,830,1007
Bahrain,1425171,722649,BHR,,,,,80457,,,,,,,,695,2080,,,,310591,,,,,,14874,,,5551,4626,,,,218,,2003,,,76674,,355,,418,,,,,871,,7719,,,3124,1189,2227,,,4147,1700,1149,,
Bangladesh,162951560,1500921,BGD,,,,30877,,,,15274,,166646,,,,,,,,35250,,,,,14090,,,,,,,208406,,,,,14651,,,,,,,,9811,,,,,,,,,10799,,,,,34266,47103,,
Belarus,9501534,1078652,BLR,101,27,58,,,,35,93,154,,,,24,,65,107,,47,48,23,385,23,,29,69682,,,64,,,,,,,60,,46,,,679682,,34,,,28,,34,,338,28,82,,24,,224847,22,459,86,14729,
Belgium,11331422,1268411,BEL,531,803,2878,2,1074,1597,,5901,3141,9776,20359,2244,835,158122,44451,16685,,7811,5057,4087,1605,186116,5121,386,2365,559,10,2074,192,408,1064,150578,264,2919,1462,11,4314,37305,,14447,46,2520,207,901,790,,51005,458,4990,2360,2039,3557,44597,271,3397,,28234,12779,1690,444
Brazil,207652865,735557,BRA,35618,721,2864,31,55,10,2075,,1944,23769,119,406,12,11713,19902,1887,,1079,654,210,2464,45541,60115,1291,29,55,24,15116,117,148,3282,4073,334,1370,703,23,315,169069,,1699,401,530,140,1944,10510,,37663,46,777,3657,2526,563,443,79,898,40,6061,21626,31,3515
Canada,36264604,7861226,CAN,21939,22055,19875,2319,52698,12131,22927,26647,,711555,21445,6476,28526,105159,177129,77289,238845,602146,140318,32595,26561,280004,30002,10929,10882,28502,14951,94299,5469,26003,81033,114535,11701,32118,5103,1609,159131,161055,1918,84905,15713,45379,12789,47152,130686,,10532,15992,7905,21799,25677,15532,29386,13661,76098,16689,624411,306334,5574,18608
China,1378665000,999527,CHN,,5341,,,4106,,,75920,8818,,,,,,,,276187,9164,,,,,6975,,,,,,,6264,,,,,,,4500,,,3028,,,,,190888,,,,,,,15525,,,,,9308,27365,,
Congo DR,78736153,879223,COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9329,,5994,,,,,,6637,,,,,,
Cote d'Ivoire,23695919,2197152,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3701,,,,,39306,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,102403196,1227143,ETH,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417150,,41734,,,,,,230,,,,,,
France,66859768,7902783,FRA,13142,8475,12749,162,5069,3451,155548,58276,26128,111717,77889,91303,8806,,237178,13085,522,48791,23134,9977,9336,373182,21701,1464,2621,1774,744,47878,2386,2575,12770,44504,1987,5854,4131,109,24140,724000,149,64965,2526,85988,2317,5258,21016,,309049,3256,10213,96715,17012,18426,301950,588,16121,795,188161,54724,1118,6433
Germany,82348669,12165083,DEU,18599,13938,258452,,7601,25617,35064,64108,19760,102709,8755,4049,20878,146297,,215784,,68521,137995,11411,14949,415875,33191,12704,1020277,15084,,79801,4484,6159,18329,139761,3251,26712,8867,,50342,98796,,1084151,3757,107032,2862,18428,29259,,100899,,20057,84578,53277,76258,1661588,2600,262027,,103700,138039,42412,9130
Greece,10775971,1220395,GRC,629,19857,2212,22,9634,1430,5031,2175,12382,3334,205,112,2376,6573,112270,,,9967,1870,579,699,6188,499,798,26492,445,137,2014,629,61,388,3678,482,2805,507,4,30727,319,1083,53209,418,4302,80,6784,207,,1159,1821,5320,3630,6916,371,32881,137,19104,84,17358,22939,8059,1007
Hong Kong,7336600,2883051,HKG,,9233,,,450,,,,14889,2343868,,,,2228,2003,,,18285,,705,,652,14406,,,,,,,15511,,1035,2282,,,,7672,110,,89,,,10033,,4907,,407,,,737,,19492,,,,,17942,13457,,
India,1324171354,5188550,IND,,656,,,3139311,,,,1625,7035,,,,1130,2125,,,,1688,,,,708,,2181,2356,6019,,,12317,,,,639,,,1095149,154,,1334,4431,,4186,,,,,,,,,,103,704,,11866,4817,2694,,
Iran,80277428,2699155,IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28117,,,,,,,,,,,,,,,,2422,,,,,,,
Ireland,4755335,806549,IRL,351,7099,843,88,3475,657,1761,11068,5724,13640,55,143,165,11988,15452,684,2029,21255,478,,236,8507,568,119,278,518,216,143,472,4501,328,5355,2442,23546,328,52,9914,2673,37,7065,461,,232,9661,207,,8336,632,2008,594,122,575,525,160,4908,216,278040,33006,98,137
Israel,8546000,1962123,ISR,38372,3185,4939,,,22548,5845,8711,7931,585,,,78489,40815,23072,3008,,18497,51031,,,5096,,,13295,,,6078,16847,,2536,4984,,,,,,,,111803,,,,11431,,,1843,,671,3757,9249,,27270,,131780,,21329,77132,21765,363
Italy,60627498,5907461,ITA,74470,20199,16618,50,98743,32952,47209,106040,25989,203959,6194,26004,30935,136767,223883,17711,,138802,14686,3692,3951,,8430,3043,3918,3705,552,7210,36859,623,8982,13263,916,57248,2015,52,86283,6527,81,82170,978,46382,576,5756,4000,,32388,2965,6523,201656,6164,10039,20851,984,236420,376,72234,55640,2553,49831
Japan,126994511,2321476,JPN,3040,10291,569,,10073,,712,206976,10303,741022,,,,10135,6332,,,25716,4533,1185,,3332,,,,,,,,9099,2199,1087,3548,2800,474,,12695,485,,8573,,,2541,,593449,,2348,,1970,1102,,47047,,,,,16990,57066,,
