Country,Category,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Aruba",1,ABW,,,,,,,,,,,,,,,,,,,,,,3671232222.36581,,,,,,
"Afghanistan",1,AFG,,,,,,,,,,,,,19243809662.7756,21284923743.126,22101051954.6374,25361507049.8761,27592569518.5013,32219074824.5206,34037462001.3289,41505186409.2602,45555113006.3501,49338254430.557,57500127993.256,60707816634.8409,63459994841.2044,64988542719.1657,67375381130.0362,70367900201.669
"Angola",1,AGO,26989420414.1809,28164234770.094,27124462844.6541,21109671754.4725,21847665825.0114,25648838117.8801,29654464075.9948,32356068937.8182,34241558543.9954,35523971830.2396,37442142905.2896,39906116716.787,46055887310.0237,49113495690.7015,55630662052.0785,69425607486.0332,85146824982.0399,107683560562.916,124966500659.001,128953767982.167,135035737962.722,143162091461.199,153348102002.877,166487326190.862,177447296681.727,184752287839.416,185587234023.875,190290018357.787
"Albania",1,ALB,8946888684.96944,6509276807.76548,6178307613.30155,6932535057.32132,7667714308.45625,8868713893.04579,9852403151.85813,8934962899.0874,10041377978.6524,11473514055.0684,12445742205.9707,13639532693.3445,14506495975.7715,15546789901.0441,16717730018.9676,17896917935.8918,19846079990.7792,21655106012.17,24251493149.7688,25800962689.3577,28073789440.2204,29655546965.6768,30530320547.2104,30603881456.6191,32529186105.1036,32650524242.4243,33245716716.0916,34540937929.6845
"Andorra",1,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arab World",2,ARB,1517934008689.65,1573453210155.8,1689457558891.59,1783047863349.15,1875187159118.19,1966161618083.51,2093367846099.77,2219834297354.07,2370360311599.63,2463539837840.84,2647592551313.76,2756169402280.71,2814595186622,2997871560120.1,3363298641638.99,3666966500106.93,4011991133758.24,4305330191283.61,4646328045053.62,4726411412080.31,5013945022793.18,5270876412768.66,5724163205123.15,5993941704314.45,6245077574400.29,6507493090278.93,6794485456346.9,7014074925017.06
"United Arab Emirates",1,ARE,132772060142.2,138371353953.261,146259552206.921,151627949783.654,165533810662.429,180287923289.011,194223838035.583,213727953672.245,216678295882.615,226378872120.496,256657452506.897,266179109515.11,276842079602.525,307211890533.911,345856713639.837,374317263734.062,423771368471.2,448903018881.917,472318070205.079,450953689394.45,463777618501.902,506157540235.955,538598628089.256,574953845935.517,611016752759.971,648924582707.545,676843708906.406,694468308425.979
"Argentina",1,ARG,228799009367.14,266367660566.608,304971050545.622,330670113260.973,357416483365.292,354489689716.293,380910288162.906,418854176199.749,439701467329.774,431316608578.626,437650782125.831,427889367078.785,387126040868.739,429738214437.589,481425332916.43,540901160462.916,602383491807.77,674119601920.088,715230331983.68,678009476231.364,755779970405.514,817697534663.575,824212325824.212,857668563139.116,851124258669.714,883851773718.798,878813870536.625,920247932772.087
"Armenia",1,ARM,8558329069.54703,7808540587.87169,4648166189.03595,4339987551.13206,4671695181.65911,5098201644.42749,5495760948.78006,5775463511.32173,6264326458.80065,6570077114.78049,7116035771.37072,7973754958.90504,9163746289.10092,10658796162.5021,12098309164.0948,14219082018.8533,16590220303.9001,19373470462.0354,21116494555.207,18266187204.2737,18896045357.2528,20192628679.6198,22045237581.6534,23140511632.7678,24403817572.2174,25457851257.4174,25834207818.2339,28271475680.4702
"American Samoa",1,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
