Country,Category,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Antigua and Barbuda",1,ATG,706150129.974454,745538080.523614,771365618.19644,831416120.538621,905797985.062694,884378197.020933,960000899.107752,1029853196.84411,1090284125.4627,1148014225.3573,1252707774.22991,1217781376.07234,1249138597.16373,1351227733.22173,1468026750.57035,1612427314.23006,1873508767.67872,2101461975.78552,2142038853.26263,1896988531.85962,1781905588.09698,1780882314.40936,1877286002.02322,1905621556.50359,2038789782.18186,2144576098.13766,2287971867.07668,2406864276.11959
"Australia",1,AUS,295882676534.941,307463578821.201,318194623127.842,337812426664.879,358340257901.702,377527161861.258,402155760190.925,424486048607.613,452358297905.727,477891206291.684,504048502709.934,530909573029.577,564121691894.44,590465415911.034,630221841253.095,663628060814.373,709757644878.466,760467824946.179,794914787843.467,872752923159.301,865291786755.513,935916831452.524,971875476831.276,1059952747624.08,1098649284090.96,1102389229328.89,1117186495512.35,1192065505301.28
"Austria",1,AUT,149353118854.938,159635617847.137,166692765490.75,171557875632.037,179417707445.074,188046489688.834,195186005357.057,202486786906.001,212604013721.235,220639956878.73,235342994296.19,239177323579.334,251984858807.042,260750191461.438,275845880322.891,288086851811.747,311132183093.519,326723912983.451,343812802543,341401690154.2,351656321269.447,373031463577.163,391635006784.261,406370494341.228,416955271489.502,431124111140.868,441389420554.209,461582926399.878
"Azerbaijan",1,AZE,39391924924.6846,40418168682.0032,31996789308.4074,25190961047.1709,20658827705.9402,18601118782.8909,19186921180.7761,20647193888.5411,22958395782.3192,25034653525.1852,28446401577.8736,31975038896.4589,35907280254.4702,40725100374.2,46113109804.6625,60162435044.7109,83404506136.5205,107072181205.494,120933045859.918,133318471842.669,141497529647.474,144514131462.76,150414031877.608,161703059598.88,167897205046.009,171584834018.457,168386921731.694,171588152876.187
"Burundi",1,BDI,3806386335.99296,4129612098.19916,4266408487.578,4095359449.3554,4022323848.66314,3781004169.5258,3542026147.14977,3545365949.82059,3754074760.34593,3773027793.83032,3825818400.26165,3993448844.89887,4235048651.30674,4266639000.63352,4595865283.15994,4786437294.98027,5199140913.05533,5592951683.66964,5990540954.70769,6245390585.02127,6561000838.55437,6977151645.62124,7391277397.29409,7855690248.84843,8369392756.40303,8128418495.00945,8185162007.94273,8375695971.57442
"Belgium",1,BEL,187075811803.213,196845888628.847,204414866054.256,207265470589.62,218507176274.698,228383980211.078,232446071044.133,243499704742.652,250421944983.757,262228511791.511,286870940183.284,298131493167.802,314972060002.29,322223602965.99,336076452097.055,349276733932.28,373301236596.679,391729878689.736,408408771079.89,410288228983.352,436815047186.968,455705357904.872,471332758408.878,486673712361.97,499939266246.279,512016377915.023,525968962826.819,544041974958.376
"Benin",1,BEN,4706554345.96153,5068722233.68241,5337601927.05743,5783520743.93818,6025938758.34472,6523498026.22222,6929832339.05287,7452642550.72559,7831926569.19514,8376520572.0259,9069163095.3746,9770280733.79246,10381010530.1817,10952669661.9743,11752340790.9703,12338111332.6274,13219119497.2434,14383350251.0893,15382623711.4618,15860473456.5858,16392960557.8805,17227124154.8024,18389481587.8198,20029977417.7611,21684553907.6582,22379103358.2258,23563236239.9857,25326706387.128
"Burkina Faso",1,BFA,4808412462.15791,5419099749.54696,5555529167.94154,5884583261.45538,6088844516.7725,6571158670.97532,7428128268.53463,8032514302.92664,8713051671.82595,9501391912.27137,9894481756.16562,10789241053.7084,11431735282.6762,12569430860.902,13493452593.3472,15134014521.7473,16574400246.04,17977728232.4829,19667490920.6703,20403830708.482,21762797284.5776,23684085089.3575,25676772178.7537,27602824638.9527,29313969112.3192,30785886345.5659,33025856157.177,35886982641.1428
"Bangladesh",1,BGD,88395044692.3496,94520597789.6556,101936972087.392,109279414286.934,115946602029.696,124426667319.526,132428597254.634,140742788887.851,149635575668.415,159020639186.08,171248156731.994,184043639225.26,194031856405.822,207280610211.284,224139419248.384,246472416034.399,270994233918.351,297843872857.018,321949477684.351,340760579977.767,364140854585.653,395684471605.039,429252817813.651,462415702168.173,499245005715.946,537727433736.509,583326821527.527,637078005334.254
"Bulgaria",1,BGR,45254866600.0214,42812032925.4744,40603524936.2878,40954269745.4086,42586229332.5352,44717891724.9498,47027730794.212,47262936333.1281,49610158640.8499,47223153386.8082,52100022290.8901,55380724780.9741,60553051708.4367,64866195528.587,70424587693.6347,78208175132.2518,86005640703.4974,96570476736.5271,107360378637.334,105291320932.28,110553833222.386,115193495908.981,118415392424.943,120830933851.93,126483103330.205,130030960548.123,137157988818.159,143850252429.594
"Bahrain",1,BHR,11255108050.4929,12935754981.7821,14115761128.3262,16311535423.5464,16617019657.3553,17630264881.5677,18689947802.5646,19597800847.2328,20759410084.9973,21983410784.4815,23675279805.7374,24818015160.7668,26109731936.7224,28234575455.8361,31036186419.3829,34203236183.4612,37534482925.9419,41728762475.5237,45204453727.9856,46704561332.1065,49324077606.9671,51341141014.8994,54238348812.608,58099570205.4921,61714863730.3954,64169533255.3094,67078185833.9357,70937896901.5065
"Bahamas, The",1,BHS,5134700545.69674,5083740552.47728,5000710957.7563,5135449711.38495,5409891337.46309,5764550539.78307,6117697680.98238,6350723137.22945,6722426156.90135,7312908245.57732,7789649873.13401,8176360940.44646,8526407680.97151,8586443502.88596,8900435722.28344,9498744738.17079,10036985415.1751,10453156815.2047,10410514017.7602,10051608005.8373,10330934216.6532,10608854836.1335,11137769553.1891,11271194465.6651,11456496272.4424,11701748235.8425,11650809929.6662,12030902236.0659
"Bosnia and Herzegovina",1,BIH,,,,,3748539857.79158,4622680533.02716,8894369620.79334,12157683332.2104,14206806451.09,15808941056.4785,17057953926.9376,17857682851.1276,19310512227.3298,20213632218.9738,22085179210.2977,24402918845.4567,27895782414.0217,30802203849.7838,33896654956.5515,33731299239.8806,34670788258.2089,36525703316.1297,37145655844.0627,39027142463.683,39811579969.692,40756987110.0864,42808971179.4693,45156242532.9028
"Belarus",1,BLR,55014543407.2095,56163563659.2982,51929231090.5017,49124240234.2479,44299816020.3042,40520494934.3832,42415506268.6806,48059576772.5653,52661958511.6722,55285762630.3681,59823343550.7406,64077915095.2434,68344122111.6079,74616536617.3852,85446604658.7525,96486389690.5398,109395774414.075,121965587422.546,137042603104.487,138359512404.504,150964389938.614,162623060502.26,168486170512.449,172960371298.501,179098188060.304,174107319951.791,171873726698.996,179203799408.712
"Belize",1,BLZ,626211871.813462,714977097.832633,819289894.640194,891429689.640665,911838372.428424,936850841.485881,967582904.806087,1019032755.36743,1068627161.39756,1180245923.32284,1364493896.61642,1465587419.28465,1564254579.27677,1744246635.7577,1875554640.50388,1985825153.60805,2140632444.9497,2221870230.18888,2338594803.34997,2373158490.35899,2482000904.92293,2586543205.39028,2734321879.12264,2798300274.42179,2963751938.34717,3109585683.82805,3133935490.26467,3218514756.63764
"Bermuda",1,BMU,1554988500.09769,1549957914.21421,1584342981.69336,1670838770.57534,1716628217.20874,1829523585.14358,1911367369.49348,2033508194.31502,2135744469.81497,2241778544.64523,2506413532.19836,2748681686.01862,2749634057.3413,2900115311.49629,3049030896.26684,3199827284.68298,3480978665.79403,3675320493.92403,3804672577.23871,3630994134.05189,3598375440.29922,3550019929.12843,3440624524.06218,3408396102.46194,,,,
"Bolivia",1,BOL,16428348333.2197,17869169945.2562,18577428835.004,19831429959.4145,21198753316.8281,22653310623.6992,24072883762.9773,25697924708.5643,27283278482.8476,27819052294.2732,29165603758.6613,30332541141.9289,31563692261.6523,33065954399.3166,35393060031.0734,38147113941.3288,41205235583.9974,44232663655.2493,47873330022.2333,49856209963.9535,52547684328.3957,56423688392.2173,60406456609.646,65553554781.0873,70373867340.5809,74592283426.475,78765064174.5227,83546110837.9132
"Brazil",1,BRA,998602442857.241,1047441844932.11,1066316682544.97,1142616194780.96,1229183207755.53,1310242022990.51,1363613273492.56,1434038967170.62,1454506781784.59,1483692430534.17,1579859208220.63,1638207299756.08,1714154984065.9,1768265253636.76,1921620498174,2046851603141.45,2193224871167.55,2388048518295.76,2558849705150.24,2575039660607.66,2803066111100.81,2974955344832.28,3088323997521.82,3232670078261.04,3307409583633.35,3224597686757.07,3152476024060.3,3240523597735.66
"Barbados",1,BRB,2429129020.05449,2412093564.19984,2294382965.06606,2377160003.23716,2520003593.54027,2624013974.34171,2778793421.54202,2959191143.14188,3101984268.57073,3162052431.15384,3308387688.3649,3302571783.18754,3380096537.81216,3523342510.9447,3670907749.94941,3940585253.10172,4293164619.36722,4486753734.91134,4579341218.23538,4429553594.334,4497104882.23067,4622083018.24387,4721345839.53245,4797595909.50494,4883697134.30025,4981087454.86854,5145528893.98216,5325645512.72553
"Brunei Darussalam",1,BRN,14162413937.8744,15094182874.3403,16172904605.5886,16608130559.1503,17495082540.9245,18659869330.6749,19547410416.9876,19589467240.8939,19691466873.1848,20603021669.3021,21672273336.5833,22774411458.8823,24019411800.0271,25209794211.9456,26033626780.5263,26975422917.601,29026929720.5407,29845498470.0439,29840677843.9092,29536750160.1467,30674522788.4179,32480415591.3426,33380677923.158,33198634079.3721,33000357671.0113,33169145011.8645,32764093460.4699,33796810142.7229
"Bhutan",1,BTN,807467719.935313,830941297.341342,888985219.769416,928215150.100891,994907511.864074,1087506908.17278,1168986422.03893,1252888266.94654,1341385646.55363,1470647930.69414,1608393321.7217,1780002948.1246,2001215500.94871,2197559185.20423,2391126002.75453,2643853103.09401,2911729974.13034,3525063410.01063,3765596225.85911,4046781423.42001,4576726813.72953,5039821055.27253,5392970630.40252,5597477745.42739,6025306502.13021,6492474179.70676,7100718433.69422,7721377055.6577
"Botswana",1,BWA,7223077604.70088,8020179344.17248,8442290765.15846,8808767046.60053,9322604958.43897,10186131615.455,10976756703.7463,12060758337.5045,12279671332.481,13672861753.8509,14261949629.0655,14623516448.7236,15749209931.9197,16806327456.0012,17735708196.2093,19140535956.5179,21378657605.3427,23764167902.2167,25743618768.2686,23954182468.4641,26323148832.6222,28491602197.6691,30309452915.6587,34292608602.1029,36356472470.6079,36126731948.5806,38166578569.319,39769942661.2124
"Central African Republic",1,CAF,1757673500.73716,1806142729.185,1728641727.51342,1775704244.91716,1902353859.18911,2081857912.34784,2035066836.55904,2179600300.5158,2306810648.61946,2426427731.01825,2419862784.18559,2585511753.98743,2720144139.70867,2624638305.42932,2858479090.10049,2977250945.64188,3215131287.17343,3452777499.24438,3592823447.07903,3681984913.31489,3840501513.70414,4049174939.83364,4293364856.51156,2761593076.05146,2840391195.55399,3009007331.69587,3185482486.86309,3382237785.11327
"Canada",1,CAN,558816722642.658,565142895475.078,583129596299.343,612855674286.265,654022346738.947,685541305829.193,709302287086.741,752318791365.374,790002907846.55,843506520771.576,898024619550.475,934754350420.289,967558830682.98,1019620715104.12,1079987051623.94,1167581267653.45,1238000856192.8,1297164596823.72,1339060588630.82,1304488409235.99,1361137270766.35,1427466965184.4,1464565119752.66,1550271241830.07,1617561717808.96,1599827259064.89,1625360824248.35,1714447151944.01
"Central Europe and the Baltics",2,CEB,762581169744.807,712201032254.487,715601165907.662,744586623191.317,791887847103.633,855302911580.991,908155654726.592,950375821027.713,990501647952.955,1023270942501.69,1085190027229.93,1163249660333.04,1242136848510.35,1317274468530.02,1433383954877.25,1517185251643.44,1682185196441.83,1868488667201.62,2061791627259.8,2057655794434.99,2166969047865.45,2307538608425.24,2385958021615.06,2486394604484.73,2582868782438.8,2668346460849.31,2767154593597.92,2946309765468.81
"Switzerland",1,CHE,185409072427.266,189825939745.373,194068145081.445,198435210808.96,205231446465.096,210519413302.156,215942151327.113,225412144250.686,233860179912.438,241567478128.904,256828869365.048,266121088688.705,274768529150.29,276759590873.411,289555205249.704,301740587045.255,337617316128.226,375575652577.55,402150962828.414,400818777856.688,415654365721.979,444548844577.953,462615082063.583,486238586276.179,506895080284.078,527160326084.765,534902853587.541,547853971542.51
"Channel Islands",1,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chile",1,CHL,59683808378.2909,66577956636.3448,76846378529.914,85014003752.2561,92699651308.0141,105309764506.942,116401760524.21,127188156495.91,134128516359.703,135619915026.88,146094759877.009,154359660007.691,161598809364.931,171564089321.744,188990720216.54,206274402670.143,257425510715.415,279893064399.043,275776919796.27,273078008452.423,310389431496.483,350575241993.673,374241571983.029,394291936706.766,404733219991.584,404737216999.141,420457028777.501,444777637168.59
"China",1,CHN,1119937622111.38,1264767322914.5,1477498389013.65,1722420096596.99,1988672809227.01,2252435843311.46,2521267972305.11,2801135217763.58,3053459470024.17,3337893655564.26,3703735286946.91,4104067209345.2,4547550139902.42,5103705283662.81,5774279848423.22,6639272110941.52,7713673777916.61,9045938594758.71,10113837109441.1,11148546705256.6,12484966957331.1,13957938676634.1,15331822766014.4,16788028344180.3,18336440188215.3,19814259252456.6,21411541901612.7,23300782880353.1
"Cote d'Ivoire",1,CIV,25323486247.1707,26177090434.8436,26708332257.2324,27291160591.3161,28098051895.3191,30728041174.8125,33707427086.1257,35567783077.8508,37726550583.7737,38923464147.9491,38985762279.3184,39922605253.016,39859480455.9552,40101591089.0438,41711816068.3431,43795016422.1551,45824775161.2498,47874676248.6701,50055049171.1185,52075061301.6215,53774598836.3684,52476906028.6953,59165494347.5907,65465432147.193,72500725108.4509,79767612664.1524,87524487979.5258,96046410943.2127
"Cameroon",1,CMR,22870960795.3467,22732166992.519,22529596385.4265,21236052918.3759,22148623128.0276,23395111632.3734,24861108730.6138,26609431048.1345,28109247370.7554,29764325619.7208,31523323420.5547,33650053715.5061,35614333412.4906,37983514248.2066,41674423401.3293,43884550665.7699,46796801515.9895,50397348456.4099,53178702548.5052,54760660616.8445,57326557790.6288,60926183398.9526,64867501724.1774,69477344512.2197,74885692657.1221,79975809954.955,84600836788.8821,88859277153.8143
"Congo, Dem. Rep.",1,COD,31026936643.5213,29359910773.8826,26876117815.6498,23809484779.7591,23367851921.9127,24022216080.9845,24210478723.1031,23241653101.856,23112307706.2709,22463969144.3279,21387345901.2539,21415334879.3097,22385051576.2418,24104918255.0784,26436678978.9037,28961433736.578,31439582781.3177,34296623401.178,37146547474.0773,38497263221.111,41737246483.0607,45527503793.3844,49652065612.5265,54733432150.8671,60992158145.1245,65917654153.6954,68360424264.2308,72165883596.7541
"Congo, Rep.",1,COG,8108225096.57104,8578794911.96062,9003534420.407,9127447278.12793,8809643910.23663,9351800144.48485,9931084313.78363,10037942563.8122,10526124950.7022,10411243514.102,11454855437.6227,12161409284.9379,12913876061.544,13278504166.5753,14117964621.4361,15702416660.6591,17194122704.3496,17372426680.6774,18700227525.1694,20249559887.7948,22290682819.1171,23529134688.7973,24873123620.645,26144458606.4727,28418050783.4014,29486460881.875,29026489374.3489,28192750311.4616
"Colombia",1,COL,166873796725.497,176354802447.352,189452586341.59,198548578365.538,214607461759.865,230481160763.06,239513576559.014,251969496694.073,256155274210.202,249141670248.919,266073563933.271,276703300818.335,287986000427.438,305237688642.174,330356877670.274,357035290426.492,392651515088.77,430917812047.264,454954372409.911,465980311955.698,490405414019.866,533512971123.156,565312941430.359,602441503586.977,640197317998.058,666890641028.306,689197633665.175,714003249549.436
"Comoros",1,COM,425629993.70001,416067453.82878,461855430.514043,487057579.260762,471175391.560177,498367402.82886,500910596.095141,530017627.93726,542641793.703915,561546841.432756,636628152.175767,666326872.608039,692284249.682112,720945615.081098,754989440.248589,801393684.873587,847878415.887397,877408189.273452,898200402.453273,922669570.510442,954485238.55446,999520790.689932,1048470452.30015,1102692440.71349,1145623715.11642,1169802783.12167,1210791124.56337,1263391524.09042
"Cabo Verde",1,CPV,366127313.339244,383625991.692719,435287089.540116,484451749.286538,589669857.644285,687518032.663875,779502548.631705,880995510.552964,1002030078.71614,1131539591.20283,1322605071.32851,1382934545.35524,1477895454.68533,1570317014.36804,1778025748.29576,1962096115.1267,2183838467.14877,2582078170.45735,2807818687.15961,2793200080.73774,2868785586.78554,3044224922.25246,3133843837.01555,3210020370.56636,3287601950.97475,3356714414.42825,3529315788.69025,3732628018.31573
"Costa Rica",1,CRI,15582452254.5383,16515224040.0763,18445152065.233,20222418026.0431,21579523340.6023,22937551651.8489,23645396862.6162,25388462980.2293,27450643061.8086,28969767627.2244,30735484481.7253,32533176738.6429,34119953252.4774,36281243855.006,38895503390.9083,41701060169.0323,46093166733.9502,51184898152.0238,54615523831.0589,54496197524.5591,57893323066.3122,61633610781.5746,65779909102.7084,68358928475.9526,72031923311.3292,75457406327.8895,79596387232.7323,83614851854.4785
"Caribbean small states",2,CSS,36536604533.0456,38529801300.8922,39439764964.3943,41571991851.2614,43660067577.0914,45951936059.2837,48375936886.8856,50776570781.5235,52801108673.0195,55833063775.568,59137417713.3775,61858187836.262,65367733298.8552,71126626959.1687,76388490992.1497,81817229736.3374,90430723774.0025,95982051726.5452,99470523217.236,96788016619.1014,99495108500.7994,102635925726.181,105891748880.201,108804246022.661,111441559067.033,114048160010.134,112997230320.876,114809293926.036
"Cuba",1,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curacao",1,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cayman Islands",1,CYM,,,,,,,,,,,,,,,,,,,,,,2823463451.74062,,,,,,
"Cyprus",1,CYP,7642473116.22726,7955251181.88643,8901435006.0799,9177016011.11855,9925281582.01353,10990312352.2787,11308426303.0337,11977943331.3866,12857613634.4298,13651922942.2067,15066652940.1844,16320322474.7872,17006109402.7632,17455192842.7868,18987727361.8781,20804344537.9732,22891371442.8834,25309971659.5588,27393400781.4903,27377919819.2248,27589875427.8071,28242946705.1167,27572480131.0132,26393181699.176,25902067920.2566,26721697953.5576,28001214969.0751,29605875237.4644
"Czech Republic",1,CZE,130887055130.137,119535190891.904,121640756026.553,124611994683.076,130966409797.242,142015838271.454,150399040803.327,151716315875.736,153326795623.563,157590965153.011,166011289693.972,179496614505.691,185474094813.637,198015910705.695,212167092486.591,224201378156.886,243476796290.456,269009250203.695,289157145081.601,288193592561.302,290082521082.694,302260233093.211,305309362168.598,320535090730.576,339582593690.886,352963164296.751,367171714568.769,384753663282.788
"Germany",1,DEU,1543634558890.48,1676493435378.91,1747696723094.42,1772171270869.42,1854361466192.65,1925931635755.83,1974503816637.4,2020778030720.17,2081690329700.93,2164174489764.9,2243861789953.89,2346940423447.33,2419132839934.43,2475027647961.19,2593373057071.75,2636421032609.51,2821081046036.69,2998158084981,3122546169495.16,3033315825942.01,3207749144930.94,3427141297691.63,3503682457579.97,3647777961341.48,3813667439595.18,3905505162814.39,4030399290332.84,4187583088239.07
"Djibouti",1,DJI,,,,,,,,,,,,,,,,,,,,,,2342710799.37195,,,,,,
"Dominica",1,DMA,308516473.625854,320723480.258135,334750571.999174,348476013.463833,360986018.835257,375792156.463044,392761290.36217,405438984.355687,430241180.47877,439810059.685884,451506241.019734,463980389.843767,462843875.185461,508362518.364124,539317908.279527,556179987.68145,590062260.828346,644056293.381681,703451394.296161,700502484.321251,713826785.877286,726881582.869273,732324245.441344,739629633.84313,786239795.310308,774549296.522971,805127820.747366,785079920.272539
"Denmark",1,DNK,93693710860.431,98161557505.9861,102364018450.973,104810699413.806,112749128801.208,118585535668.174,124765825559.436,131671933908.588,136809498689.626,141846322306.411,153020263325.322,157945510465.261,164720380732.307,165944158948.695,177919475305.656,185074447122.437,202812925312.361,212787294572.816,226767494179.349,222759960760.249,238780830983.336,247352304134.257,250524580732.023,262368103968.458,270330621883.304,276642629927.426,280838687287.439,296350723353.862
"Dominican Republic",1,DOM,25430151988.7,26524685503.3685,30173492899.8295,33166400316.7488,34753023243.4444,37494928029.2316,40461716810.5365,44810883798.1921,48338666868.6361,51993685383.5257,55655788555.0064,58324187079.4374,61881515397.3917,62266118879.2682,65622590807.1477,74120218736.618,83406357510.8697,91976070099.2344,96790166294.0432,98447964416.6669,107960850176.838,113642553322.237,118880878060.882,126690100040.198,138811489697.968,150185808402.892,162159171956.206,172590926391.139
"Algeria",1,DZA,171446801450.824,175027588457.271,182239748741.94,182657617586.347,184865917500.795,195893034599.098,207647399392.286,213524506285.161,226849733525.566,237691548683.807,252385915568.68,265903338500.221,285129633300.678,311759423443.314,334111414658.308,365235633218.176,382798013901.654,406240468963.718,423985231158.452,434178151684.126,455452361679.776,478298761774.961,503548082189.252,525841885570.943,555561406651.09,582721202680.838,609630693492.105,631150080999.552
"East Asia & Pacific (excluding high income)",2,EAP,2308984885265.03,2569877484447.14,2898657571595.94,3277166662918.07,3690847962147.07,4128340831403.46,4573033631518.47,4963797720796.94,5061510107057.35,5439814487693.77,5972777122949.95,6505382625918.56,7111252411680.42,7870993528408.59,8794911311279.3,9935110056009.46,11309447675678.5,12977920694520.1,14320349973992.3,15498801315889.4,17193950022811.4,18996218277421.7,20785255188205.2,22618453080362.6,24555526127517.4,26414804222212.2,28428405775998.9,30827718811665.6
"Early-demographic dividend",2,EAR,5445764207802.72,5909802120861.24,6315326119914.02,6824706994660.21,7204163844098.97,7611364156475.13,8161620614975.22,8666467705314.16,8934755876376.81,9299020652755.46,9953274445591.2,10362048914808.5,10728545998118.2,11495211129081.3,12596839795443.1,13870797407738.7,15298656341942.3,16783681181063.6,17871638391008.2,18463609179992.2,20019345670956.6,21563259806811.8,22911272195164,24332715329516,25951551774808.7,27406399097556.3,29140776969828.7,31071160529616.6
"East Asia & Pacific",2,EAS,5814887273272.09,6354067403596.68,6857019004400.49,7400189154073.13,8036343782978.1,8742583194259.29,9467212831806.02,10073709389507.4,10178147423035.3,10767892623159.6,11689779613452,12418543889057.4,13290326072351.8,14277403638614.3,15619020880461.9,17131136470017.3,18953611506522.7,21100790901489.4,22619338108610.3,23654012448025.3,25871925449112.3,28019547992205.1,30154439557732.6,32439059187583.7,34605723179869.8,36791106564654.2,39167749425993.5,41982460346380.5
"Europe & Central Asia (excluding high income)",2,ECA,2477542827331.81,2417003224808.96,2218490763268.02,2133428726540.66,1934212320825.58,1933946034364.9,1965741473834.41,2049684379929.75,2065954942685.32,2134014256038.66,2385207819290.21,2527051859163.2,2702722166494.93,2989151610041.22,3351240189384.71,3767791545452.1,4515880709087.95,5046573610273.33,5813170083431.08,5641935916506.32,6064267636683.93,6928157124672.92,7335894306686.23,7669699536600.05,7906302040550.05,7880357123157.6,8053568240145.04,8517146901548.78
"Europe & Central Asia",2,ECS,9744541167553.58,10030449981396.2,10097401261446.9,10194457867858.7,10403707645207.9,10813931421820.8,11212317558769.2,11727982144334.3,12172659627917.3,12668447708401.6,13666627111356.6,14375753632341.3,15087999281531.1,15699825102871.3,16723260294779.3,17681841371151.9,19624837348112.6,21100780364770.2,22637311451086.6,22095066304975.4,23123383779714,24742785143337.8,25489538917656.7,26509609696119.1,27317890981455.2,27817030214639.4,28607529204821.1,29862012787368.1
"Ecuador",1,ECU,49347419555.7681,53178108421.8386,55540310861.2094,57983766614.6723,61739377828.1012,64446776915.9882,66759716909.3081,70841032128.5689,73948995262.5953,71522291124.6492,73948445630.6881,78670825175.3788,83150964937.2421,87118288144.7048,96863794836.965,105270798941.469,113283044857.005,118844885897.797,128879488764.204,130593880442.387,136848941123.964,150664137576.237,162096444039.91,172861925156.819,182631287359.881,184794331040.131,184201713009.49,193138105018.725
"Egypt, Arab Rep.",1,EGY,219273690233.894,229016589490.895,244618514813.383,257703318995.674,273644484445.704,292320638929.255,312506419454.632,335308788633.663,352628944674.046,379884406117.434,409384965326.463,433517053525.116,450606183930.473,474262994919.208,507234344114.975,547005144173.803,602453659313.735,662339380636.641,723669582166.874,763245439180.146,812316743803.415,843842460027.439,878427114733.389,912121545942.48,955565141640.716,1008158140349.96,1065400330972.32,1129918541166.7
"Euro area",2,EMU,5279841410936.62,5603563161548.38,5811849915502.62,5909316957223.19,6183944156594.48,6470515581627.78,6690358257659.8,6980731425722.98,7321913814347.84,7632037174370.43,8134665794926.85,8551975775783.95,8926124713856.7,9110065998071.61,9526331246616.81,9916479646327.28,10762238212638.8,11446702482910.1,11949317448966.8,11685399914898.1,12048488218200,12556570969206.4,12711074411171.1,13152939244334.2,13512103726785.3,13874945742586.2,14333506575689.9,14900551943681.3
